Question,A,B,C,D,Answer,Explanation,Tags
"Arturo, varón de 14 años y medio, talla –2,09 DE, edad ósea 12 años, desarrollo normal y familiar con baja talla. ¿Diagnóstico más probable?",Retraso de crecimiento de causa endocrina.,Retraso de crecimiento de causa cromosómica.,Retraso de crecimiento de causa constitucional.,Crecimiento normal (talla dentro del 95% esperado).,C,Edad ósea retrasada con clínica normal sugiere retardo constitucional del crecimiento.,"pediatria,crecimiento"
"Niña 12 años con talla P5, edad ósea >2 DE por debajo de cronológica, padres altos. Causa más probable de baja talla:",Baja talla genética,Deficiencia de hormona de crecimiento,Hipotiroidismo,Retraso constitucional del crecimiento,D,Edad ósea retrasada y padres altos apuntan a retardo constitucional y no a baja talla familiar.,"pediatria,crecimiento"
"Lactante 6 meses con bronquiolitis: tiraje generalizado, aleteo nasal, FC 148, FR 55, sibilancias inspiratorias y espiratorias. Según Score de Tal:",Leve,Moderado,Grave,Datos insuficientes,C,Signos de dificultad respiratoria y sibilancias biphasicas suman puntaje alto en Score de Tal.,"pediatria,irab,bronquiolitis"
"Paciente 1 año con IRAB leve-moderada (rinorrea, tos, 37,5°C, FR 50, tiraje intercostal). Conducta inicial más adecuada según SAP-IRAB:",Domicilio con salbutamol cada 6 h,En guardia: salbutamol cada 20 min (3 dosis) y reevaluar,Internación para oxigenoterapia,Carga de metilprednisona + salbutamol en guardia y reevaluar,B,Tratamiento inicial con salbutamol en guardia en 3 nebulizaciones y reevaluación.,"pediatria,irab"
"RN 38 semanas, 2800 g, íleo meconial. ¿Qué patología investigar primero por asociación frecuente?",Enfermedad de Hirschsprung,Divertículo de Meckel,Fibrosis quística,Malrotación intestinal,C,Íleo meconial se asocia clásicamente a fibrosis quística por tapones meconiales espésos.,"pediatria,neonatologia,gastroenterologia"
"Niño 2 años con neumonía lobar, SaO2 90%, EG regular. Tratamiento de elección según SAP-IRAB:",Ambulatorio: amoxicilina 100 mg/kg/día VO c/8 h,Internación: ampicilina 200 mg/kg/día EV c/6 h,Ambulatorio: ampicilina 200 mg/kg/día VO c/6 h,Internación: cefotaxima 200 mg/kg/día EV c/6 h,B,Neumonía con hipoxemia y compromiso general requiere internación y betalactámico EV (ampicilina).,"pediatria,irab,neumonia"
"Niña 9 meses con fiebre y tos, consolidación en base derecha. Agente etiológico más probable:",Streptococcus pneumoniae,Virus sincicial respiratorio,Moraxella catarrhalis,Mycoplasma pneumoniae,B,En <1 año predomina etiología viral; VSR es la causa más frecuente.,"pediatria,irab,etiologia"
¿Desde qué edad aumenta la prevalencia de Mycoplasma pneumoniae como causa de neumonía en niños (SAP-IRAB)?,A partir del año,A partir de los dos años,A partir de los tres años,A partir de los cuatro años,D,Mycoplasma se vuelve más frecuente a partir de los 4 años.,"pediatria,irab,etiologia"
"Lactante 9 meses con dolor cólico intermitente, palidez y mirada perdida. ¿Diagnóstico más probable?",Enterocolitis,Divertículo de Meckel,Pólipo colónico juvenil,Invaginación intestinal,D,"Cuadro típico: 6–12 meses, dolor intermitente y aspecto tóxico sugieren invaginación.","pediatria,gastroenterologia,urgencias"
Utilidad de anti-endomisio y anti-transglutaminasa en enfermedad celíaca:,"Confirmación diagnóstica, screening de familiares y monitoreo de dieta","Apoyo diagnóstico, screening y pronóstico a largo plazo","Apoyo diagnóstico, pronóstico mediano plazo y monitoreo de dieta","Apoyo diagnóstico, screening de familiares y monitoreo de dieta",D,"Los serológicos son pruebas de apoyo, útiles para tamizaje y seguimiento de adherencia.","pediatria,gastroenterologia,celiaca"
Lactante 18 meses con caída de peso y talla por debajo P3; curva típica de EC. Diagnóstico más probable:,Baja talla familiar,Recanalización genética,RCIU,Enfermedad celíaca,D,Descenso de peso y talla tras introducción de gluten sugiere enfermedad celíaca.,"pediatria,gastroenterologia,crecimiento"
RN 15 días con fiebre; sospecha de ITU. Método más adecuado para urocultivo:,Punción vesical,Bolsita colectora,Urocultivo al acecho,Sondaje vesical intermitente,A,En neonatos el patrón oro es punción suprapúbica para evitar contaminación.,"pediatria,urinaria,neonatologia"
Niño 8 años con escroto agudo tras traumatismo; testículo aumentado y doloroso. Conducta inicial:,Ecodoppler testicular,Desrotación manual,Centellografía,Exploración quirúrgica,A,Doppler urgente para valorar flujo y descartar torsión; guía conducta.,"pediatria,urologia,urgencias"
"Niña 3 años con SUH, anuria, Hto 16%, Na 112, K 5,9, urea 105, pH 7,31. Tras indicar GRD, conducta inmediata:",Conducta expectante 24 h,Bicarbonato 1/6 molar,Corrección rápida con NaCl hipertónico,Diálisis peritoneal,D,"Criterios de diálisis: anuria, hiperK y uremia elevada en SUH.","pediatria,nefrologia,urgencias"
"Lactante 7 meses afebril, exantema macular tras 3 días de fiebre alta. Diagnóstico más probable:",Sarampión,Rubéola,Exantema súbito,Quinta enfermedad,C,Fiebre alta que cede y aparece exantema generalizado es típico de roseola (HHV-6).,"pediatria,exantematicas"
"Niño 8 años con fiebre ≥5 días, rash, labios secos, lengua aframbuesada, conjuntivitis no purulenta, adenopatía cervical. Diagnóstico:",Escarlatina,Sarampión,Síndrome de shock tóxico,Enfermedad de Kawasaki,D,Criterios clínicos cumplen Kawasaki; requiere IGIV y AAS.,"pediatria,reumatologia,exantematicas"
Recién nacido de madre HIV+. ¿Estudio para diagnosticar infección por HIV?,PCR posparto y a los 4 meses,ELISA al mes y a los 6 meses,Antígeno p24 en cordón y a los 3 meses,ELISA posparto y Western Blot a los 6 meses,A,En menores de 18 meses se usan pruebas virológicas (PCR).,"pediatria,infectologia,hiv"
"Niño 4 años con anafilaxia inmediata tras penicilina (estridor, urticaria, hipotensión). Fármaco inicial:",Adrenalina,Corticoides,Antihistamínicos,Broncodilatadores,A,La adrenalina IM es el tratamiento de primera línea en anafilaxia.,"pediatria,alergia,urgencias"
Niño 8 años con visitas repetidas; síntomas solo ante el cuidador; estudios incongruentes; cuidador poco preocupado. ¿Sospecha?,Trastorno de conversión,Trastorno de somatización,Síndrome de Munchausen por poder,Hipocondría,C,Signos clásicos de maltrato médico: Munchausen por poder.,"pediatria,maltrato"
"Paciente 12 años con anafilaxia por picadura: estridor, babeo, sudoración. Fármaco a administrar:",Adrenalina,Hidrocortisona,Difenhidramina,Budesonida,A,En anafilaxia siempre adrenalina IM precoz.,"pediatria,alergia,urgencias"
Causa más frecuente de hipotiroidismo congénito:,Disgenesia tiroidea,Resistencia periférica a hormonas tiroideas,Infecciones connatales,Bocio dishormonogenético,A,La disgenesia (agenesia/ectopia) es la etiología más común.,"pediatria,endocrinologia"
Adolescente 15 años con baja talla. Duda entre retardo constitucional vs baja talla familiar. Estudio más útil para diferenciarlos:,Velocidad de crecimiento,Radiografía para edad ósea,Talla objetivo genética,Score Z,B,Edad ósea retrasada favorece retardo constitucional; normal en baja talla familiar.,"pediatria,crecimiento"
"Adolescente 13 años baja estatura, Tanner m2/p2, edad ósea 11,5 años, sin menarca. Conducta:",Tranquilizar; dentro de parámetros normales,Solicitar cariotipo,Repetir edad ósea en 6 meses,Dosaje de GH,A,Desarrollo puberal acorde a edad ósea retrasada compatible con variante normal.,"pediatria,crecimiento,adolescencia"
Tumor más frecuente entre 10–20 años:,Wilms,Neuroblastoma,Retinoblastoma,Sarcomas óseos,D,En la adolescencia predominan osteo/ewing (sarcomas óseos).,"pediatria,oncohematologia"
Niña 11 años con mejillas eritematosas y eritema en encaje en extremidades. Diagnóstico:,Eritema infeccioso (quinta enfermedad),Sarampión,Rubéola,Escarlatina,A,Parvovirus B19: mejillas abofeteadas y exantema reticulado.,"pediatria,exantematicas"
"Niño que corre bien, triciclo, torres de 10 cubos, copia círculo, frases de 6 palabras, pregunta “¿por qué?”. Edad madurativa:",24,30,36,48,C,Hitos globales corresponden a 3 años.,"pediatria,desarrollo"
"Niño usa tobogán solo, juego paralelo con pala y balde, recorta con tijera, cuenta hasta cuatro y pega figuras. Edad madurativa:",24 meses,30 meses,36 meses,48 meses,D,Hitos de 4 años (motricidad fina y juego cooperativo básico).,"pediatria,desarrollo"
"Permanece sentado sin soporte, pinza pulgar-índice, responde a su nombre, aplaude y saluda. Edad:",6 meses,10 meses,12 meses,18 meses,B,A los 10 meses aparecen pinza fina y gestos sociales.,"pediatria,desarrollo"
"Se mantiene parado apoyado, señala con el dedo, pone un objeto dentro de otro, dice mamá/papá, imita acciones y ayuda a vestirse. Edad:",6 meses,9 meses,12 meses,15 meses,C,Hitos nucleares de 12 meses.,"pediatria,desarrollo"
"Se sienta solo, gatea, pinza fina, responde a su nombre y dice adiós con la mano. Edad:",6 meses,10 meses,12 meses,18 meses,B,Conjunto típico de 10 meses.,"pediatria,desarrollo"
"Lactante 6 meses con vómitos, dolor intenso, palidez y heces “jarabe de grosella”. Diagnóstico:",GEA por ETEC,Rotavirus,Invaginación intestinal,Cólicos del lactante,C,Heces sanguinolentas en jalea y dolor cólico son patognomónicos de invaginación.,"pediatria,gastroenterologia,urgencias"
"Niña 9 meses con fiebre y tos, hipoventilación en base derecha. Agente más probable:",Staphylococcus aureus,Virus sincicial respiratorio,Moraxella catarrhalis,Mycoplasma pneumoniae,B,En lactantes predomina etiología viral por VSR.,"pediatria,irab,etiologia"
Niña 6 años con exantema que inicia en cara y empeora con agua caliente; “signo de la cachetada”; enantema en paladar y adenopatías. Diagnóstico:,Sarampión,Escarlatina,5ta enfermedad,Enterovirosis exantemática,C,"Parvovirus B19: mejillas abofeteadas, exantema que se exacerba con calor.","pediatria,exantematicas"
Niña 8 años con mejillas eritematosas y exantema reticulado en extremidades sin otros síntomas. Diagnóstico:,Enfermedad boca-mano-pie,Sarampión,Rubéola,Eritema infeccioso (quinta enfermedad),D,Clásico patrón reticulado de Parvovirus B19.,"pediatria,exantematicas"
Precauciones para prevenir contagio institucional en IRAB (SAP):,"Lavado de manos, camisolín, barbijo estándar, habitación individual","Habitación cohorte, barbijo alta eficiencia, camisolín, guantes","Lavado de manos, habitación individual o cohorte, barbijo de alta eficiencia","Lavado de manos, habitación individual o cohorte, barbijo estándar",C,Para transmisión respiratoria: higiene de manos + aislamiento por gotas con barbijo de alta eficiencia según SAP.,"pediatria,irab,epidemiologia"
Niña 4 años con sospecha de ITU. Mejor técnica para sedimento/urocultivo:,Colector plástico,Al acecho con buena higiene,Punción suprapúbica,Sonda vesical,B,En preescolares continentes se recomienda chorro medio (al acecho) con higiene.,"pediatria,urinaria"
"Niño 18 meses con eritema peribucal, costras y fisuras periorificiales, piel denudada y antecedentes de fiebre e irritabilidad al tacto. Diagnóstico:",Impétigo bulloso,Fascitis necrotizante,Síndrome de piel escaldada,Epidermólisis ampollosa,C,Toxinas de S. aureus producen descamación amplia y dolor al tacto.,"pediatria,dermatologia"
"Niña 2 años adoptada, prurito 3 semanas, pápulas y vesículas en cintura, pliegues, palmas y plantas. Tratamiento:",Aciclovir VO,Hidrocortisona tópica,Cefalexina VO,Permetrina tópica,D,Clínica de escabiosis; primera línea permetrina al 5% con tratamiento de contactos.,"pediatria,dermatologia,infecciosa"
Neumonía de la comunidad en la infancia: el concepto más correcto:,Neumococo y Hib son los más frecuentes <1 año,"Tos, taquipnea y fiebre son los hallazgos clínicos con mayor evidencia",VSG y PCR diferencian con certeza bacteriana vs viral,Siempre solicitar Rx de tórax y ecografía,B,La clínica orienta con mejor evidencia; biomarcadores y estudios de imagen no siempre son necesarios.,"pediatria,irab,neumonia"
La maduración pulmonar (surfactante suficiente para viabilidad respiratoria) se realiza:,Entre la semana 24 y 34,Después de las 34 semanas,Antes de las 24 semanas,Entre 22 y 24 semanas,A,Producción de surfactante aumenta entre 24–34 semanas (sáculo–alveolar).,"pediatria,neonatologia"
Niña 3 años con impétigo. ¿Cuándo puede volver al colegio? (Libro Azul Infectología Pediátrica):,No requiere evicción escolar,Puede ingresar desde el inicio del tratamiento,Puede ingresar a las 24 h de iniciado el tratamiento,Puede ingresar a las 48 h de iniciado el tratamiento,D,Para impétigo se indica evicción hasta 48 h de antibiótico para reducir contagio.,"pediatria,dermatologia,infectologia,escolaridad"
"Según “Consenso mobiliario infantil seguro” (SAP, 2016): ¿edad mínima para viajar en asiento delantero?",8 años,10 años,12 años,14 años,C,Seguridad vial pediátrica: asiento delantero recién a los 12 años.,"pediatria,prevencion,seguridadvial"
